"","MS/MS","MS/MS Identified","MS/MS Identified [%]","Peptide Sequences Identified","Peaks Repeatedly Sequenced [%]","Mass Standard Deviation [ppm]","Mass precision [ppm]","Retention length (FWHM)","Score","Intensity","Cycle time","Mass Error [ppm]","Date","Instrument","Type"
"20171109_QEplus_AC_HeLa_new",67825,29422,36.76,24197,4.54,1.3666,2.20306103582843,6.90887862526141,105.909823542757,393426914.943377,0.485173398024606,0.00253112295275144,2017-11-09,"QEplus","DB"
"20171109_QEplus_AC_HeLa_old",68672,30636,37.71,24818,4.6,1.3676,2.20774282605376,6.88087824526573,109.775879089554,443249855.215333,0.490697644000467,-0.00099224771616294,2017-11-09,"QEplus","DB"
